epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
66,2382.73,0.42804,0.8192,0.16669,0.17436,0.00952,3.11703,0.98381,0.99492,0.98985,0.89454,0.98381,0.99492,0.9905,0.89442,0.523,0.66178,0.16146,0.20513,0.02392,0,0.000713,0.000713,0.000713
67,2425.32,0.39302,0.82856,0.15398,0.16195,0.0086,2.86871,0.98914,0.98985,0.99034,0.93863,0.98914,0.98985,0.99116,0.88575,0.38511,0.68994,0.19236,0.17321,0.01743,0,0.0006932,0.0006932,0.0006932
68,2486.4,0.39946,0.78526,0.15799,0.15534,0.00879,2.87791,0.99411,1,0.99146,0.93282,0.99411,1,0.99293,0.8912,0.41743,0.67548,0.2194,0.16473,0.01884,0,0.0006734,0.0006734,0.0006734
69,2530.1,0.39645,0.77446,0.15724,0.14471,0.00868,2.82965,0.98908,1,0.98575,0.91306,0.98908,1,0.98666,0.87847,0.44389,0.69805,0.22798,0.1831,0.02023,0,0.0006536,0.0006536,0.0006536
70,2574.42,0.40111,0.80507,0.15541,0.15281,0.00872,2.81565,0.98865,0.98985,0.98728,0.89228,0.98865,0.98985,0.9858,0.88001,0.49686,0.69896,0.20632,0.1993,0.02287,0,0.0006338,0.0006338,0.0006338
71,2610.41,0.42741,0.74462,0.15707,0.15553,0.00973,2.80862,0.98938,0.99492,0.98976,0.91154,0.98938,0.99492,0.98672,0.88307,0.45042,0.70894,0.17347,0.17971,0.02056,0,0.000614,0.000614,0.000614
72,2645.34,0.4087,0.77482,0.15747,0.15509,0.00904,2.87104,0.9887,1,0.99098,0.90272,0.9887,1,0.98837,0.89381,0.47981,0.67477,0.17421,0.1881,0.02197,0,0.0005942,0.0005942,0.0005942
73,2681.17,0.40107,0.76277,0.15418,0.16053,0.00894,2.75981,0.98984,0.98883,0.98562,0.91031,0.98984,0.98883,0.98733,0.90075,0.44321,0.65282,0.15617,0.19113,0.02024,0,0.0005744,0.0005744,0.0005744
74,2716.19,0.38801,0.76163,0.1522,0.15526,0.00862,2.70701,0.98953,1,0.98877,0.92382,0.98953,1,0.98945,0.89267,0.41535,0.66744,0.16807,0.17237,0.0189,0,0.0005546,0.0005546,0.0005546
75,2750.89,0.39694,0.72255,0.16175,0.15427,0.00913,2.77177,0.98919,1,0.99174,0.89817,0.98919,1,0.99103,0.89853,0.49962,0.67925,0.16026,0.18926,0.0228,0,0.0005348,0.0005348,0.0005348
