epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
68,2667.1,0.43039,0.82021,0.16171,0.16411,0.00965,2.89179,0.98943,1,0.99454,0.91758,0.98943,1,0.99004,0.87541,0.42573,0.65344,0.1549,0.16091,0.01957,0,0.0006734,0.0006734,0.0006734
69,2706.61,0.42251,0.81694,0.16401,0.17254,0.0093,2.78409,0.9899,0.99992,0.99121,0.90596,0.9899,0.99992,0.99064,0.86954,0.47778,0.65207,0.14188,0.16944,0.02156,0,0.0006536,0.0006536,0.0006536
70,2745.73,0.39146,0.79125,0.15085,0.15848,0.00866,2.69179,0.98,0.9949,0.99346,0.91701,0.98,0.9949,0.99083,0.87993,0.44116,0.62072,0.16842,0.17342,0.01995,0,0.0006338,0.0006338,0.0006338
71,2784.9,0.39864,0.76181,0.15627,0.15761,0.00904,2.66771,0.98965,1,0.99352,0.88447,0.98965,1,0.99163,0.88512,0.56039,0.63504,0.15227,0.18648,0.02572,0,0.000614,0.000614,0.000614
72,2824.55,0.37766,0.78226,0.15552,0.14884,0.00844,2.63117,0.99457,0.9949,0.9948,0.90269,0.99457,0.9949,0.99051,0.87892,0.48916,0.66752,0.15985,0.17016,0.02215,0,0.0005942,0.0005942,0.0005942
73,2865.56,0.4123,0.77529,0.15953,0.16255,0.00899,2.62664,0.99301,0.9949,0.99189,0.88674,0.99301,0.9949,0.99133,0.887,0.52151,0.63561,0.1458,0.18477,0.02392,0,0.0005744,0.0005744,0.0005744
74,2904.28,0.40131,0.79216,0.15268,0.16174,0.00911,2.60602,0.9899,1,0.99495,0.87502,0.98481,0.9949,0.99098,0.87717,0.583,0.65178,0.13793,0.16943,0.02714,0,0.0005546,0.0005546,0.0005546
75,2941.81,0.41283,0.72626,0.16208,0.16162,0.00931,2.60541,0.99492,0.99887,0.99251,0.90092,0.99492,0.99887,0.99185,0.87976,0.46881,0.63521,0.13674,0.16084,0.02167,0,0.0005348,0.0005348,0.0005348
76,2980.03,0.39962,0.73742,0.15562,0.15275,0.00896,2.5105,0.9849,0.99862,0.99232,0.90663,0.9849,0.99862,0.99132,0.88613,0.45614,0.64919,0.16007,0.17368,0.02089,0,0.000515,0.000515,0.000515
77,3020.24,0.38863,0.68956,0.1512,0.14849,0.00862,2.32315,0.99405,1,0.99135,0.92389,0.99405,1,0.99109,0.87835,0.39779,0.64234,0.13919,0.14704,0.01801,0,0.0004952,0.0004952,0.0004952
78,3059.94,0.38875,0.70736,0.15286,0.15242,0.00839,2.26862,0.99492,0.99997,0.9918,0.91969,0.99492,0.99997,0.99206,0.88174,0.41397,0.65043,0.17488,0.15083,0.01907,0,0.0004754,0.0004754,0.0004754
79,3099.32,0.3854,0.65108,0.15869,0.14441,0.00874,2.36237,0.99292,1,0.99378,0.92751,0.99292,1,0.99241,0.88729,0.40137,0.63865,0.15606,0.15295,0.01834,0,0.0004556,0.0004556,0.0004556
80,3139.66,0.38316,0.66923,0.1611,0.15046,0.00841,2.26842,0.99405,1,0.99211,0.91009,0.99405,1,0.99226,0.88936,0.4447,0.63798,0.15257,0.15426,0.02017,0,0.0004358,0.0004358,0.0004358
81,3179.06,0.38305,0.70562,0.15536,0.1485,0.00839,2.27868,0.98491,0.99927,0.99157,0.91734,0.98491,0.99927,0.99192,0.8856,0.43087,0.63504,0.14736,0.16459,0.0195,0,0.000416,0.000416,0.000416
82,3217.19,0.37199,0.70718,0.15648,0.15427,0.00815,2.28219,0.98943,1,0.99209,0.92324,0.98943,1,0.99107,0.88287,0.41465,0.64112,0.14873,0.1511,0.01893,0,0.0003962,0.0003962,0.0003962
83,3256.87,0.35614,0.62639,0.15484,0.13968,0.00775,2.17439,0.99492,0.99918,0.99332,0.93427,0.99492,0.99918,0.99104,0.87916,0.38072,0.64227,0.13896,0.14311,0.01736,0,0.0003764,0.0003764,0.0003764
84,3293.94,0.35695,0.63091,0.15739,0.14255,0.00785,2.17323,0.98482,1,0.99252,0.91833,0.98482,1,0.99127,0.8822,0.4285,0.64345,0.15654,0.16905,0.01939,0,0.0003566,0.0003566,0.0003566
85,3332.15,0.34925,0.63627,0.15776,0.13559,0.00768,2.09284,0.99492,0.9995,0.99175,0.93148,0.99492,0.9995,0.99094,0.87659,0.40359,0.65199,0.15005,0.14499,0.01826,0,0.0003368,0.0003368,0.0003368
86,3372.29,0.3535,0.63561,0.15384,0.14429,0.00782,2.2071,0.99471,1,0.99358,0.92125,0.99471,1,0.99114,0.88406,0.42076,0.64249,0.15344,0.14389,0.0191,0,0.000317,0.000317,0.000317
87,3411.47,0.36091,0.62751,0.15317,0.14226,0.00797,2.09093,0.99424,1,0.99348,0.93223,0.99424,1,0.99079,0.88089,0.40311,0.63738,0.14966,0.14117,0.01829,0,0.0002972,0.0002972,0.0002972
88,3450.16,0.35651,0.66082,0.15599,0.13308,0.00773,2.08613,0.9897,1,0.99398,0.93398,0.9897,1,0.99058,0.8857,0.41183,0.63669,0.1576,0.14569,0.01867,0,0.0002774,0.0002774,0.0002774
89,3490.25,0.35259,0.56141,0.15445,0.14179,0.0076,1.83981,0.99395,1,0.99419,0.92688,0.99395,1,0.9916,0.88401,0.40024,0.64385,0.14053,0.14662,0.01823,0,0.0002576,0.0002576,0.0002576
90,3530.25,0.34689,0.61127,0.14718,0.13592,0.00754,1.94899,0.98492,1,0.99423,0.93446,0.98492,1,0.99219,0.87971,0.38088,0.65218,0.15145,0.14408,0.01726,0,0.0002378,0.0002378,0.0002378
91,3602.33,0.36348,0.38214,0.18326,0.19311,0.0121,2.56757,0.99155,0.9949,0.99413,0.92544,0.99155,0.9949,0.99158,0.87057,0.39749,0.64621,0.17938,0.15114,0.01807,0,0.000218,0.000218,0.000218
92,3639.23,0.33991,0.33389,0.1657,0.11344,0.0111,2.26903,0.98431,1,0.99464,0.92386,0.98431,1,0.99382,0.87368,0.41098,0.63913,0.1285,0.17873,0.01856,0,0.0001982,0.0001982,0.0001982
93,3677.12,0.3398,0.33212,0.16251,0.11083,0.01123,2.25859,0.98938,0.97959,0.99383,0.92968,0.98938,0.97959,0.99346,0.87349,0.40551,0.64755,0.14401,0.16821,0.01835,0,0.0001784,0.0001784,0.0001784
94,3715.88,0.31894,0.33584,0.15891,0.10897,0.0101,2.16696,0.9898,1,0.99444,0.92454,0.9898,1,0.99387,0.87536,0.41666,0.64285,0.12053,0.15508,0.01894,0,0.0001586,0.0001586,0.0001586
95,3755.01,0.29868,0.31592,0.14,0.1045,0.00927,2.00599,0.99472,0.9949,0.99474,0.91434,0.99472,0.9949,0.99393,0.87454,0.44757,0.64203,0.11388,0.15564,0.02034,0,0.0001388,0.0001388,0.0001388
96,3794.83,0.3102,0.31987,0.14881,0.10436,0.00989,2.09753,0.99447,1,0.9948,0.93264,0.99447,1,0.99348,0.87211,0.3954,0.64109,0.13233,0.13794,0.01788,0,0.000119,0.000119,0.000119
97,3834.29,0.29474,0.31154,0.15417,0.09829,0.00934,2.01379,0.98966,1,0.99485,0.9305,0.98966,1,0.99316,0.87319,0.41271,0.64175,0.11475,0.15053,0.0187,0,9.92e-05,9.92e-05,9.92e-05
98,3873.95,0.29577,0.30628,0.1382,0.09646,0.00944,1.86373,0.99414,1,0.9948,0.91446,0.99414,1,0.99327,0.87236,0.44303,0.64491,0.1208,0.15322,0.02013,0,7.94e-05,7.94e-05,7.94e-05
99,3913.96,0.29514,0.29224,0.15062,0.10015,0.00928,1.83424,0.99456,1,0.99475,0.92653,0.99456,1,0.99317,0.87608,0.41584,0.64403,0.12072,0.14332,0.01885,0,5.96e-05,5.96e-05,5.96e-05
100,3952.9,0.28999,0.30496,0.13981,0.09798,0.00907,1.8002,0.98885,1,0.99469,0.93189,0.98885,1,0.99296,0.87295,0.42184,0.64636,0.11655,0.1534,0.01913,0,3.98e-05,3.98e-05,3.98e-05
